"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 00:10:34 NOVT 2022","Mon May 30 00:10:36 NOVT 2022","1660","tests","test_user_scenarios","TestUserScenarios","","","test_change_currency[USD]",""
"passed","Mon May 30 00:07:44 NOVT 2022","Mon May 30 00:07:45 NOVT 2022","1288","tests","test_admin_login_page","TestAdminLoginPage","","","test_admin_reset_password_submit_invalid_email",""
"passed","Mon May 30 00:09:56 NOVT 2022","Mon May 30 00:09:58 NOVT 2022","1730","tests","test_product_page","TestProductPage","","","test_view_product_images[iPhone]",""
"passed","Mon May 30 00:09:28 NOVT 2022","Mon May 30 00:09:29 NOVT 2022","1083","tests","test_catalog_page","TestCatalogPage","","","test_select_sort_cameras[Model (Z - A)]",""
"passed","Mon May 30 00:10:13 NOVT 2022","Mon May 30 00:10:15 NOVT 2022","1777","tests","test_register_account_page","TestRegisterAccountPage","","","test_submit_form_privacy_policy_unchecked",""
"passed","Mon May 30 00:09:58 NOVT 2022","Mon May 30 00:10:00 NOVT 2022","2123","tests","test_product_page","TestProductPage","","","test_view_product_images[Apple Cinema 30""]",""
"passed","Mon May 30 00:10:27 NOVT 2022","Mon May 30 00:10:29 NOVT 2022","1761","tests","test_register_account_page","TestRegisterAccountPage","","","test_register_passwords_mismatch",""
"passed","Mon May 30 00:10:23 NOVT 2022","Mon May 30 00:10:25 NOVT 2022","1797","tests","test_register_account_page","TestRegisterAccountPage","","","test_try_register_account_with_errors[phone-Telephone must be between 3 and 32 characters!]",""
"passed","Mon May 30 00:08:17 NOVT 2022","Mon May 30 00:08:18 NOVT 2022","667","tests","test_catalog_page","TestCatalogPage","","","test_navbar[laptops-all]",""
"passed","Mon May 30 00:08:22 NOVT 2022","Mon May 30 00:08:23 NOVT 2022","668","tests","test_catalog_page","TestCatalogPage","","","test_navbar[components-scanners]",""
"passed","Mon May 30 00:10:10 NOVT 2022","Mon May 30 00:10:12 NOVT 2022","2309","tests","test_register_account_page","TestRegisterAccountPage","","","test_submit_form_random_data",""
"passed","Mon May 30 00:10:42 NOVT 2022","Mon May 30 00:10:45 NOVT 2022","2719","tests","test_user_scenarios","TestUserScenarios","","","test_user_login_and_logout",""
"passed","Mon May 30 00:08:41 NOVT 2022","Mon May 30 00:08:43 NOVT 2022","1210","tests","test_catalog_page","TestCatalogPage","","","test_menu[components-components]",""
"passed","Mon May 30 00:09:19 NOVT 2022","Mon May 30 00:09:20 NOVT 2022","1018","tests","test_catalog_page","TestCatalogPage","","","test_select_sort_cameras[Name (Z - A)]",""
"passed","Mon May 30 00:08:15 NOVT 2022","Mon May 30 00:08:16 NOVT 2022","780","tests","test_catalog_page","TestCatalogPage","","","test_navbar[laptops-macs]",""
"passed","Mon May 30 00:09:49 NOVT 2022","Mon May 30 00:09:49 NOVT 2022","579","tests","test_product_page","TestProductPage","","","test_select_product_from_featured[0-macbook]",""
"passed","Mon May 30 00:08:50 NOVT 2022","Mon May 30 00:08:50 NOVT 2022","876","tests","test_catalog_page","TestCatalogPage","","","test_menu[tablets-tablets]",""
